,count,unique,top,freq,mean,min,25%,50%,75%,max,std
ID,500000.0,,,,10737733.818476,19269.0,9078947.5,10871531.5,12412266.75,14005109.0,1988702.8764014526
Case Number,500000,499997,HX446571,2,,,,,,,
Date,500000,,,,2017-06-05 22:35:52.636579584,2010-01-01 00:00:00,2013-04-10 16:56:45,2017-03-10 11:00:00,2021-07-02 23:07:30,2025-10-17 00:00:00,
Block,500000,31029,001XX N STATE ST,1199,,,,,,,
IUCR,500000,355,0486,44148,,,,,,,
Primary Type,500000,33,THEFT,112500,,,,,,,
Description,500000,474,SIMPLE,53393,,,,,,,
Location Description,500000,181,STREET,122852,,,,,,,
Arrest,500000,2,False,397342,,,,,,,
Domestic,500000,2,False,406672,,,,,,,
Beat,500000.0,,,,1159.0326,111.0,612.0,1031.0,1723.0,2535.0,699.8133510206079
District,500000.0,,,,11.277946,1.0,6.0,10.0,17.0,31.0,6.970055751888816
Ward,500000.0,,,,22.983964,1.0,10.0,23.0,34.0,50.0,13.891896372211882
Community Area,500000.0,,,,37.110668,1.0,23.0,32.0,56.0,77.0,21.520765573754055
FBI Code,500000,26,06,112871,,,,,,,
X Coordinate,500000.0,,,,1164882.691176,1117988.0,1153060.75,1166461.5,1176515.0,1205119.0,16111.418874144512
Y Coordinate,500000.0,,,,1886087.136051,1783623.375,1858858.0,1892111.5,1909377.0,1951535.0,31528.426796868946
Year,500000.0,,,,2016.92895,2010.0,2013.0,2017.0,2021.0,2025.0,4.651153530465139
Updated On,500000,4137,02/10/2018 03:50:01 PM,221850,,,,,,,
Latitude,500000.0,,,,41.84301506362037,41.56116690600001,41.76807935,41.8597274165,41.906976793,42.022671246,0.0867089069731889
Longitude,500000.0,,,,-87.67045677186685,-87.84161458150002,-87.713358539,-87.664635782,-87.627817589,-87.524529378,0.05863456701436336
Location,500000,217799,"(41.883500187, -87.627876698)",652,,,,,,,
Month,500000.0,,,,6.513586,1.0,4.0,7.0,9.0,12.0,3.355484754720229
Day,500000.0,,,,15.649192,1.0,8.0,16.0,23.0,31.0,8.832441438876316
Weekday,500000.0,,,,3.002948,0.0,1.0,3.0,5.0,6.0,1.9936828380759357
Hour,500000.0,,,,12.595042,0.0,8.0,13.0,18.0,23.0,6.7852907895371875
Minute,500000.0,,,,19.196694,0.0,0.0,15.0,30.0,59.0,19.041542968758634
Season,500000,4,Summer,136082,,,,,,,
